Temperature	Magnetization	Error
1.0	0.9992777386698848	0.00032832071522892204
1.2105263157894737	0.996841355487039	0.000726377251823673
1.4210526315789473	0.9904872484542775	0.001361937216506842
1.631578947368421	0.9769562054927908	0.0023754029593028706
1.8421052631578947	0.9498306297302376	0.004252739069427658
2.052631578947368	0.8917665185866014	0.00920439518151822
2.263157894736842	0.599259355750081	0.1261583556491975
2.473684210526316	0.05746274031285449	0.044725992406466755
2.6842105263157894	0.028861421610776723	0.025806058976452894
2.894736842105263	0.0248552010808365	0.01900786887077942
3.1052631578947367	0.01956301560245762	0.016485384286907583
3.3157894736842106	0.020052278483967737	0.014516380233154935
3.526315789473684	0.015217877732155449	0.012142282761013808
3.7368421052631575	0.013977786655224625	0.011528406433190634
3.9473684210526314	0.01396497819834864	0.011233505168948783
4.157894736842105	0.013181429808875681	0.010406554583691207
4.368421052631579	0.006548874269005848	0.008424416660528832
4.578947368421052	0.012307212958985774	0.009746374403852199
4.789473684210526	0.011443384385165619	0.009456656432091936
5.0	0.007270440444117888	0.006634743291147845
10.0	0.008727215008062885	0.005168026892454611
20.0	0.002958214884466798	0.00452395877388774
