Temperature	Magnetization	Error	Binder Cumulant	Error on Binder Cumulant
2.2	0.7851964743811967	0.020575553842720258	0.6572576498421447	0.00164111072736886
2.210714285714286	0.7690679667160026	0.024200199747015722	0.6646705392788129	0.0016435320705717072
2.2214285714285715	0.751391557210751	0.0287022828947313	0.6656125261988868	0.0017115988035717148
2.232142857142857	0.7281905628430939	0.03604549548704596	0.6627015461990351	0.0018391122277538724
2.242857142857143	0.6986841509998593	0.0492797877873626	0.663488451550932	0.00194768862095459
2.2535714285714286	0.6558572013953098	0.07609789072829284	0.6520965237898235	0.002230131059022923
2.2642857142857142	0.5812287579946962	0.12176663922320413	0.63400518678933	0.0026516261832806734
2.2750000000000004	0.477036010137156	0.16439359100487388	0.5660080441395258	0.003844484481745734
2.285714285714286	0.3391148587636527	0.17297991708255975	0.45446749770443756	0.006065158120045708
2.2964285714285717	0.23038228698220167	0.14974492440968873	0.3011962803089127	0.009736952899852535
2.3071428571428574	0.18086239396326714	0.12456621925512307	0.18833865938058586	0.013077498215441893
2.317857142857143	0.14652282708630254	0.10446720650049177	0.12923255779994647	0.01520647802441421
2.3285714285714287	0.11639961698876776	0.08905627827090161	0.09271833560543244	0.016789990490323786
2.3392857142857144	0.1054434905185548	0.07909729036411355	0.0518703522103462	0.018193514153057144
2.35	0.09410474753040736	0.06930964328168607	0.06938216913972985	0.018096043496534837
