Temperature	Magnetization	Error
1.0	0.9992753512132823	0.0003964418951168231
1.2105263157894737	0.9968251857010214	0.0008733446246447432
1.4210526315789473	0.9904974200000001	0.0016290819565583543
1.631578947368421	0.9769545305332266	0.0028357397557633728
1.8421052631578947	0.9498028670473083	0.0050945117880077774
2.052631578947368	0.8917553143484358	0.01105199565323063
2.263157894736842	0.6033942801140414	0.13536936029187113
2.473684210526316	0.06820098727412709	0.05215055865643412
2.6842105263157894	0.04230598464924051	0.030476900021576894
2.894736842105263	0.027650293020777837	0.022053815751365526
3.1052631578947367	0.02282598117713162	0.016837806733528988
3.3157894736842106	0.020493290919606708	0.015304872225599493
3.526315789473684	0.019870794206589208	0.015173368349246534
3.7368421052631575	0.01758380417956656	0.01523907387900096
3.9473684210526314	0.013077414662529091	0.0108324084111788
4.157894736842105	0.01512699054883104	0.011715126067170064
4.368421052631579	0.014533708736748354	0.010729862781507315
4.578947368421052	0.011177274487030583	0.0097045907998049
4.789473684210526	0.01243456153606827	0.01042302930029206
5.0	0.016164544499868733	0.011538807924819415
10.0	0.009581378911806545	0.00765914310558031
20.0	0.00833097384234712	0.005227988326887145
